date,HH,COE,T,BAU El,COP,BAU The,PCM Mode,Q,SOC,SoCdelta,MaxDis,BAU Cost (GBP),NQ,NSOC
2019-01-31,42,12.21,2.0,25,5.192,273.15112000000005,standby,0.0,0.0,0.0,-0.0,3.2118405000000005,0.0,0.0
2019-01-31,43,11.55,2.0,26,5.192,286.86838400000005,standby,0.0,0.0,0.0,-0.0,3.1908030000000003,0.0,0.0
2019-01-31,44,10.78,2.0,25,5.192,286.86838400000005,standby,0.0,0.0,0.0,-0.0,2.9780827999999997,0.0,0.0
2019-01-31,45,10.45,2.0,26,5.192,280.04609600000003,standby,0.0,0.0,0.0,-0.0,2.8182605,0.0,0.0
2019-01-31,46,10.21,2.0,24,5.192,280.04609600000003,standby,0.0,0.0,0.0,-0.0,2.7535349,0.0,0.0
2019-01-31,47,10.12,2.0,22,5.192,254.26262400000005,standby,0.0,0.0,0.0,-0.0,2.4779832,0.0,0.0
2019-01-31,48,10.01,1.0,23,5.386,279.738068,standby,0.0,0.0,0.0,-0.0,2.5994969,0.0,0.0
2019-02-01,1,10.01,1.0,22,5.386,268.71831199999997,standby,0.0,0.0,0.0,-0.0,2.4970945999999996,0.0,0.0
2019-02-01,2,10.14,1.0,22,5.386,283.422092,standby,0.0,0.0,0.0,-0.0,2.6679354,0.0,0.0
2019-02-01,3,11.26,1.0,22,5.386,280.104316,standby,0.0,0.0,0.0,-0.0,2.9279377999999996,0.0,0.0
2019-02-01,4,10.14,2.0,23,5.192,252.351968,standby,0.0,0.0,0.0,-0.0,2.4642228,0.0,0.0
2019-02-01,5,10.08,2.0,21,5.192,240.846496,standby,0.0,0.0,0.0,-0.0,2.3379551999999997,0.0,0.0
2019-02-01,6,10.12,2.0,22,5.192,240.846496,standby,0.0,0.0,0.0,-0.0,2.3472327999999996,0.0,0.0
2019-02-01,7,10.34,2.0,24,5.192,245.976192,standby,0.0,0.0,0.0,-0.0,2.4493392,0.0,0.0
2019-02-01,8,10.01,2.0,21,5.192,260.150352,standby,0.0,0.0,0.0,-0.0,2.5078053,0.0,0.0
2019-02-01,9,10.12,2.0,22,5.192,261.19913600000007,standby,0.0,0.0,0.0,-0.0,2.5455848,0.0,0.0
2019-02-01,10,10.12,2.0,23,5.192,261.19913600000007,standby,0.0,0.0,0.0,-0.0,2.5455848,0.0,0.0
2019-02-01,11,10.82,2.0,24,5.192,269.54787200000004,standby,0.0,0.0,0.0,-0.0,2.8086556000000003,0.0,0.0
2019-02-01,12,10.23,2.0,22,5.192,269.54787200000004,standby,0.0,0.0,0.0,-0.0,2.6555034,0.0,0.0
2019-02-01,13,14.48,2.0,24,5.192,267.637216,standby,0.0,0.0,0.0,-0.0,3.7320752000000006,0.0,0.0
2019-02-01,14,11.55,2.0,23,5.192,267.637216,standby,0.0,0.0,0.0,-0.0,2.976897,0.0,0.0
2019-02-01,15,12.76,2.0,22,5.192,286.639936,standby,0.0,0.0,0.0,-0.0,3.5222704,0.0,0.0
2019-02-01,16,14.63,2.0,24,5.192,286.639936,standby,0.0,0.0,0.0,-0.0,4.0384652,0.0,0.0
