date,HH,COE,T,BAU El,COP,BAU The,PCM Mode,Q,SOC,SoCdelta,MaxDis,BAU Cost (GBP),NQ,NSOC
2019-02-01,3,11.26,1.0,22,5.386,301.616,standby,0.0,0.0,0.0,-0.0,3.1527999999999996,0.0,0.0
2019-02-01,4,10.14,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8392,0.0,0.0
2019-02-01,5,10.08,2.0,21,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8224,0.0,0.0
2019-02-01,6,10.12,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-01,7,10.34,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8952,0.0,0.0
2019-02-01,8,10.01,2.0,21,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8027999999999995,0.0,0.0
2019-02-01,9,10.12,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-01,10,10.12,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-01,11,10.82,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.0296000000000003,0.0,0.0
2019-02-01,12,10.23,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8644,0.0,0.0
2019-02-01,13,14.48,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,4.0544,0.0,0.0
2019-02-01,14,11.55,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.2340000000000004,0.0,0.0
2019-02-01,15,12.76,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.5727999999999995,0.0,0.0
2019-02-01,16,14.63,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,4.0964,0.0,0.0
2019-02-01,17,15.58,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,4.3624,0.0,0.0
2019-02-01,18,15.58,3.0,24,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.3624,0.0,0.0
2019-02-01,19,15.69,3.0,26,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.3932,0.0,0.0
2019-02-01,20,15.4,3.0,24,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.312,0.0,0.0
2019-02-01,21,15.97,3.0,25,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.4716000000000005,0.0,0.0
2019-02-01,22,15.4,3.0,27,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.312,0.0,0.0
2019-02-01,23,16.1,3.0,26,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.508000000000001,0.0,0.0
2019-02-01,24,15.93,3.0,27,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.4604,0.0,0.0
2019-02-01,25,15.84,3.0,25,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.4352,0.0,0.0
2019-02-01,26,15.18,3.0,28,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.2504,0.0,0.0
2019-02-01,27,14.74,3.0,25,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,4.1272,0.0,0.0
2019-02-01,28,13.79,3.0,29,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.8612,0.0,0.0
2019-02-01,29,13.82,3.0,26,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.8696,0.0,0.0
2019-02-01,30,13.0,3.0,28,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.64,0.0,0.0
2019-02-01,31,12.32,3.0,28,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.4496,0.0,0.0
2019-02-01,32,13.66,3.0,28,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.8248,0.0,0.0
2019-02-01,33,24.32,3.0,26,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,6.8096000000000005,0.0,0.0
2019-02-01,34,26.63,3.0,31,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,7.4563999999999995,0.0,0.0
2019-02-01,35,25.95,3.0,30,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,7.266,0.0,0.0
2019-02-01,36,26.94,3.0,27,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,7.543200000000001,0.0,0.0
2019-02-01,37,26.52,3.0,26,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,7.425599999999999,0.0,0.0
2019-02-01,38,25.38,2.0,27,5.192,290.752,standby,0.0,0.0,0.0,-0.0,7.1064,0.0,0.0
2019-02-01,39,13.42,2.0,27,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.7576,0.0,0.0
2019-02-01,40,13.53,2.0,27,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.7883999999999998,0.0,0.0
2019-02-01,41,12.76,2.0,25,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.5727999999999995,0.0,0.0
2019-02-01,42,12.1,1.0,26,5.386,301.616,standby,0.0,0.0,0.0,-0.0,3.388,0.0,0.0
2019-02-01,43,11.99,1.0,26,5.386,301.616,standby,0.0,0.0,0.0,-0.0,3.3572,0.0,0.0
2019-02-01,44,12.25,1.0,27,5.386,301.616,standby,0.0,0.0,0.0,-0.0,3.43,0.0,0.0
2019-02-01,45,11.44,1.0,25,5.386,301.616,standby,0.0,0.0,0.0,-0.0,3.2032,0.0,0.0
